STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,purchase,Purchases,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2015-Q1,,DW_EXST,Purchases of existing dwellings,78.80,,,,,
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2015-Q2,,DW_EXST,Purchases of existing dwellings,99.28,,,,,
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2015-Q3,,DW_EXST,Purchases of existing dwellings,98.00,,,,,
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2015-Q4,,DW_EXST,Purchases of existing dwellings,123.92,,,,,
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2016-Q1,,DW_EXST,Purchases of existing dwellings,78.19,,,,,
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2016-Q2,,DW_EXST,Purchases of existing dwellings,96.63,,,,,
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2016-Q3,,DW_EXST,Purchases of existing dwellings,89.56,,,,,
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2016-Q4,,DW_EXST,Purchases of existing dwellings,103.59,,,,,
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2017-Q1,,DW_EXST,Purchases of existing dwellings,87.50,,,,,
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2017-Q2,,DW_EXST,Purchases of existing dwellings,98.66,,,,,
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2017-Q3,,DW_EXST,Purchases of existing dwellings,93.27,,,,,
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2017-Q4,,DW_EXST,Purchases of existing dwellings,104.92,,,,,
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2018-Q1,,DW_EXST,Purchases of existing dwellings,87.62,,,,,
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2018-Q2,,DW_EXST,Purchases of existing dwellings,95.15,,,,,
dataflow,ESTAT:PRC_HPI_HSNQ(1.0),"House sales - number and index (2015=100), quarterly data",Q,Quarterly,I15_Q,"Quarterly index, 2015=100",AT,Austria,2018-Q3,,DW_EXST,Purchases of existing dwellings,95.18,,,,,
