STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,purchase,Purchases,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2009-Q4,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2010-Q1,,96.33,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2010-Q2,,99.89,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2010-Q3,,101.64,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2010-Q4,,102.14,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2011-Q1,,101.66,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2011-Q2,,105.33,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2011-Q3,,107.17,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2011-Q4,,107.54,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2012-Q1,,109.34,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2012-Q2,,109.49,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2012-Q3,,113.65,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2012-Q4,,114.17,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2013-Q1,,113.83,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2013-Q2,,118.88,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2013-Q3,,118.83,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2013-Q4,,117.35,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2014-Q1,,118.97,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2014-Q2,,121.96,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2014-Q3,,122.42,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2014-Q4,,122.98,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2015-Q1,,127.58,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2015-Q2,,128.64,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2015-Q3,,129.77,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2015-Q4,,128.52,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2016-Q1,,132.28,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2016-Q2,,136.25,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2016-Q3,,137.86,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2016-Q4,,138.70,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2017-Q1,,141.39,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2017-Q2,,144.66,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2017-Q3,,146.40,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2017-Q4,,145.47,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2018-Q1,,149.28,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2018-Q2,,153.52,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2018-Q3,,155.14,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2018-Q4,,156.35,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,DW_EXST,Purchases of existing dwellings,I10_Q,"Quarterly index, 2010=100",AT,Austria,2019-Q1,,157.57,,,,,
